UID,Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,Machine Failure
21,H29434,High,298.9,309.3,1375,42.7,58,58712.50000000001,No,No,No,No,No,No
22,L47201,Low,298.8,309.3,1450,44.8,63,64959.99999999999,No,No,No,No,No,No
23,M14882,Medium,298.9,309.3,1581,30.7,65,48536.7,No,No,No,No,No,No
24,L47203,Low,299.0,309.4,1758,25.7,68,45180.6,No,No,No,No,No,No
25,M14884,Medium,299.0,309.4,1561,37.3,70,58225.299999999996,No,No,No,No,No,No
26,L47205,Low,299.0,309.5,1861,23.3,73,43361.3,No,No,No,No,No,No
27,L47206,Low,299.1,309.5,1512,39.0,75,58968.0,No,No,No,No,No,No
28,H29441,High,299.1,309.4,1811,24.6,77,44550.600000000006,No,No,No,No,No,No
29,L47208,Low,299.1,309.4,1439,44.2,82,63603.8,No,No,No,No,No,No
30,L47209,Low,299.0,309.4,1693,30.1,84,50959.3,No,No,No,No,No,No
31,M14890,Medium,299.1,309.5,1339,48.2,86,64539.8,No,No,No,No,No,No
32,L47211,Low,299.0,309.4,1798,25.5,89,45849.0,No,No,No,No,No,No
33,L47212,Low,299.0,309.4,1419,48.3,91,68537.7,No,No,No,No,No,No
34,L47213,Low,298.9,309.3,1665,32.5,93,54112.5,No,No,No,No,No,No
35,M14894,Medium,298.8,309.1,1559,34.7,95,54097.3,No,No,No,No,No,No
36,M14895,Medium,298.8,309.2,1452,48.6,98,70567.2,No,No,No,No,No,No
37,M14896,Medium,298.9,309.2,1581,36.7,101,58022.700000000004,No,No,No,No,No,No
38,L47217,Low,298.8,309.1,1439,39.2,104,56408.8,No,No,No,No,No,No
39,H29452,High,298.9,309.2,1379,50.7,106,69915.3,No,No,No,No,No,No
40,L47219,Low,298.8,309.1,1350,52.5,111,70875.0,No,No,No,No,No,No
41,L47220,Low,298.8,309.1,1362,45.4,113,61834.799999999996,No,No,No,No,No,No
42,L47221,Low,298.8,309.1,1368,50.8,115,69494.4,No,No,No,No,No,No
43,M14902,Medium,298.8,309.1,1368,49.1,117,67168.8,No,No,No,No,No,No
44,H29457,High,298.8,309.2,1372,48.5,120,66542.0,No,No,No,No,No,No
45,M14904,Medium,298.8,309.1,1472,47.5,125,69920.0,No,No,No,No,No,No
46,L47225,Low,298.8,309.1,1489,49.1,128,73109.90000000001,No,No,No,No,No,No
47,M14906,Medium,298.7,309.0,1843,25.8,130,47549.4,No,No,No,No,No,No
48,L47227,Low,298.8,309.1,1418,46.3,133,65653.4,No,No,No,No,No,No
49,H29462,High,298.8,309.2,1425,53.9,135,76807.5,No,No,No,No,No,No
50,M14909,Medium,298.9,309.2,1412,44.1,140,62269.200000000004,No,No,No,No,No,No
51,L47230,Low,298.9,309.1,2861,4.6,143,13160.599999999999,No,No,Yes,No,No,Yes
52,L47231,Low,298.9,309.1,1383,54.9,145,75926.7,No,No,No,No,No,No
53,H29466,High,298.8,309.0,1497,43.8,147,65568.59999999999,No,No,No,No,No,No
54,L47233,Low,298.7,309.0,1565,35.1,152,54931.5,No,No,No,No,No,No
55,L47234,Low,298.7,309.0,1691,30.1,154,50899.100000000006,No,No,No,No,No,No
56,L47235,Low,298.8,309.1,1512,40.7,156,61538.4,No,No,No,No,No,No
57,L47236,Low,298.8,309.1,1477,42.4,158,62624.799999999996,No,No,No,No,No,No
58,L47237,Low,298.8,309.1,1513,40.3,160,60973.899999999994,No,No,No,No,No,No
59,M14918,Medium,298.8,309.0,1661,29.5,162,48999.5,No,No,No,No,No,No
60,L47239,Low,298.8,309.1,1378,54.4,165,74963.2,No,No,No,No,No,No
61,L47240,Low,298.8,309.1,1393,52.6,167,73271.8,No,No,No,No,No,No
62,M14921,Medium,298.8,309.0,1592,38.2,169,60814.4,No,No,No,No,No,No
63,L47242,Low,298.8,309.0,1829,22.9,172,41884.1,No,No,No,No,No,No
64,M14923,Medium,298.9,309.0,1812,25.9,174,46930.799999999996,No,No,No,No,No,No
65,L47244,Low,299.0,309.1,1523,38.6,177,58787.8,No,No,No,No,No,No
66,L47245,Low,299.0,309.1,1394,45.1,179,62869.4,No,No,No,No,No,No
67,M14926,Medium,298.9,308.9,1679,28.7,181,48187.299999999996,No,No,No,No,No,No
68,H29481,High,298.8,308.9,1466,44.1,184,64650.6,No,No,No,No,No,No
69,L47248,Low,298.8,308.9,1527,32.4,189,49474.799999999996,No,No,No,No,No,No
70,L47249,Low,298.9,309.0,1410,65.7,191,92637.0,No,No,Yes,Yes,No,Yes
71,M14930,Medium,298.9,309.0,1924,22.6,193,43482.4,No,No,No,No,No,No
72,L47251,Low,298.9,309.1,1452,45.5,196,66066.0,No,No,No,No,No,No
73,L47252,Low,298.9,309.1,1369,44.4,198,60783.6,No,No,No,No,No,No
74,L47253,Low,299.0,309.1,1592,35.0,200,55720.0,No,No,No,No,No,No
75,L47254,Low,298.9,309.0,1601,32.3,202,51712.299999999996,No,No,No,No,No,No
76,L47255,Low,298.8,308.9,1379,46.7,204,64399.3,No,No,No,No,No,No
77,L47256,Low,298.8,308.9,1461,47.9,206,69981.9,No,No,No,No,No,No
78,L47257,Low,298.8,308.9,1455,41.3,208,60091.49999999999,Yes,No,No,No,No,Yes
79,L47258,Low,298.8,308.9,1398,51.5,0,71997.0,No,No,No,No,No,No
80,L47259,Low,298.8,308.9,1402,37.9,2,53135.799999999996,No,No,No,No,No,No
81,H29494,High,298.8,308.8,1445,49.9,4,72105.5,No,No,No,No,No,No
82,L47261,Low,298.9,308.9,1450,47.5,9,68875.0,No,No,No,No,No,No
83,L47262,Low,298.9,308.9,1453,40.8,11,59282.399999999994,No,No,No,No,No,No
84,L47263,Low,299.0,309.0,1469,40.1,13,58906.9,No,No,No,No,No,No
85,L47264,Low,298.9,308.9,1422,47.6,15,67687.2,No,No,No,No,No,No
86,M14945,Medium,299.0,309.0,1804,26.8,17,48347.200000000004,No,No,No,No,No,No
87,H29500,High,299.0,309.0,1436,43.9,20,63040.4,No,No,No,No,No,No
88,L47267,Low,299.0,309.0,1544,31.8,25,49099.200000000004,No,No,No,No,No,No
89,M14948,Medium,299.0,309.0,1419,45.2,27,64138.8,No,No,No,No,No,No
90,M14949,Medium,298.9,308.9,1487,39.5,30,58736.5,No,No,No,No,No,No
91,L47270,Low,298.9,308.9,1753,25.8,33,45227.4,No,No,No,No,No,No
92,L47271,Low,298.9,308.9,1830,24.9,35,45567.0,No,No,No,No,No,No
93,M14952,Medium,298.9,308.9,1727,27.1,37,46801.700000000004,No,No,No,No,No,No
94,L47273,Low,299.1,309.0,1450,43.0,40,62350.0,No,No,No,No,No,No
95,L47274,Low,299.0,308.9,1622,31.9,42,51741.799999999996,No,No,No,No,No,No
96,M14955,Medium,299.0,309.0,1351,52.2,44,70522.2,No,No,No,No,No,No
97,M14956,Medium,299.0,309.0,1575,35.3,47,55597.49999999999,No,No,No,No,No,No
98,M14957,Medium,298.9,308.9,1750,29.9,50,52325.0,No,No,No,No,No,No
99,L47278,Low,298.9,308.8,1529,32.7,53,49998.3,No,No,No,No,No,No
100,L47279,Low,298.8,308.8,1523,44.4,55,67621.2,No,No,No,No,No,No
101,L47280,Low,298.8,308.9,1852,25.0,57,46300.0,No,No,No,No,No,No
102,L47281,Low,298.8,308.8,1991,20.7,59,41213.7,No,No,No,No,No,No
103,L47282,Low,298.8,308.8,1555,40.6,61,63133.0,No,No,No,No,No,No
104,M14963,Medium,298.8,308.8,1441,40.5,63,58360.5,No,No,No,No,No,No
105,L47284,Low,298.8,308.7,1450,43.4,66,62930.0,No,No,No,No,No,No
106,L47285,Low,298.8,308.7,1591,31.1,68,49480.100000000006,No,No,No,No,No,No
107,L47286,Low,298.8,308.7,1445,48.5,70,70082.5,No,No,No,No,No,No
108,M14967,Medium,298.8,308.8,1497,46.8,72,70059.59999999999,No,No,No,No,No,No
109,H29522,High,298.9,308.8,1621,32.7,75,53006.700000000004,No,No,No,No,No,No
110,L47289,Low,298.9,308.7,1572,34.1,80,53605.200000000004,No,No,No,No,No,No
111,L47290,Low,298.8,308.6,1872,22.5,82,42120.0,No,No,No,No,No,No
112,H29525,High,298.7,308.6,1499,43.5,84,65206.5,No,No,No,No,No,No
113,M14972,Medium,298.8,308.7,1498,39.5,89,59171.0,No,No,No,No,No,No
114,M14973,Medium,298.8,308.6,1486,41.9,92,62263.4,No,No,No,No,No,No
115,L47294,Low,298.8,308.6,1680,29.4,95,49392.0,No,No,No,No,No,No
116,L47295,Low,298.8,308.6,1431,45.7,97,65396.700000000004,No,No,No,No,No,No
117,L47296,Low,298.9,308.7,1564,34.1,99,53332.4,No,No,No,No,No,No
118,L47297,Low,298.8,308.6,1599,33.0,101,52767.0,No,No,No,No,No,No
119,M14978,Medium,298.8,308.6,1707,28.1,103,47966.700000000004,No,No,No,No,No,No
120,L47299,Low,298.7,308.5,1467,40.7,106,59706.9,No,No,No,No,No,No
121,L47300,Low,298.9,308.7,1433,44.7,108,64055.100000000006,No,No,No,No,No,No
122,L47301,Low,298.9,308.7,1558,41.2,110,64189.600000000006,No,No,No,No,No,No
123,L47302,Low,299.0,308.8,1310,50.7,112,66417.0,No,No,No,No,No,No
124,L47303,Low,298.9,308.7,1546,43.4,114,67096.4,No,No,No,No,No,No
125,L47304,Low,298.9,308.7,1727,29.4,116,50773.799999999996,No,No,No,No,No,No
126,L47305,Low,298.9,308.6,1560,32.2,118,50232.00000000001,No,No,No,No,No,No
127,L47306,Low,299.0,308.6,1329,60.5,120,80404.5,No,No,No,No,No,No
128,L47307,Low,298.9,308.6,1413,46.5,122,65704.5,No,No,No,No,No,No
129,L47308,Low,299.0,308.6,1587,38.6,124,61258.200000000004,No,No,No,No,No,No
130,L47309,Low,298.9,308.5,1559,34.3,126,53473.7,No,No,No,No,No,No
131,L47310,Low,298.8,308.4,1473,41.1,128,60540.3,No,No,No,No,No,No
132,L47311,Low,298.8,308.4,1737,27.7,130,48114.9,No,No,No,No,No,No
133,M14992,Medium,298.7,308.4,1441,43.2,132,62251.200000000004,No,No,No,No,No,No
134,M14993,Medium,298.7,308.4,1430,49.6,135,70928.0,No,No,No,No,No,No
135,L47314,Low,298.8,308.4,1369,53.0,138,72557.0,No,No,No,No,No,No
136,M14995,Medium,298.8,308.5,1711,28.5,140,48763.5,No,No,No,No,No,No
137,H29550,High,298.7,308.5,1420,45.7,143,64894.00000000001,No,No,No,No,No,No
138,L47317,Low,298.7,308.6,1297,55.3,148,71724.09999999999,No,No,No,No,No,No
139,H29552,High,298.8,308.6,1449,49.4,150,71580.59999999999,No,No,No,No,No,No
140,L47319,Low,298.8,308.6,1268,55.8,155,70754.4,No,No,No,No,No,No
141,L47320,Low,298.8,308.6,1511,36.1,157,54547.1,No,No,No,No,No,No
142,L47321,Low,298.7,308.5,1544,35.2,159,54348.8,No,No,No,No,No,No
143,M15002,Medium,298.6,308.4,1778,28.2,161,50139.6,No,No,No,No,No,No
144,H29557,High,298.6,308.4,1407,50.5,164,71053.5,No,No,No,No,No,No
145,M15004,Medium,298.6,308.4,1391,42.4,169,58978.4,No,No,No,No,No,No
146,L47325,Low,298.5,308.4,1513,33.6,172,50836.8,No,No,No,No,No,No
147,H29560,High,298.5,308.4,1612,36.1,174,58193.200000000004,No,No,No,No,No,No
148,L47327,Low,298.4,308.4,1515,40.1,179,60751.5,No,No,No,No,No,No
149,M15008,Medium,298.3,308.3,1379,48.0,181,66192.0,No,No,No,No,No,No
150,L47329,Low,298.4,308.3,1473,39.9,184,58772.7,No,No,No,No,No,No
151,L47330,Low,298.4,308.3,1422,42.7,186,60719.4,No,No,No,No,No,No
152,M15011,Medium,298.4,308.2,1463,37.6,188,55008.8,No,No,No,No,No,No
153,M15012,Medium,298.4,308.2,1584,41.0,191,64944.0,No,No,No,No,No,No
154,L47333,Low,298.4,308.2,1850,27.0,194,49950.0,No,No,No,No,No,No
155,L47334,Low,298.4,308.2,1528,36.2,196,55313.600000000006,No,No,No,No,No,No
156,H29569,High,298.4,308.2,1987,19.8,198,39342.6,No,No,No,No,No,No
157,M15016,Medium,298.4,308.1,1495,46.0,203,68770.0,No,No,No,No,No,No
158,H29571,High,298.4,308.2,1478,43.5,206,64293.0,No,No,No,No,No,No
159,M15018,Medium,298.4,308.2,1499,40.0,211,59960.0,No,No,No,No,No,No
160,L47339,Low,298.4,308.2,1471,47.0,214,69137.0,No,No,No,No,No,No
161,L47340,Low,298.4,308.2,1282,60.7,216,77817.40000000001,No,No,No,Yes,No,Yes
162,L47341,Low,298.3,308.1,1412,52.3,218,73847.59999999999,No,No,No,Yes,No,Yes
163,L47342,Low,298.3,308.1,1586,35.5,0,56303.0,No,No,No,No,No,No
164,M15023,Medium,298.4,308.2,1468,43.8,2,64298.399999999994,No,No,No,No,No,No
165,M15024,Medium,298.5,308.3,1440,43.6,5,62784.0,No,No,No,No,No,No
166,L47345,Low,298.5,308.4,1733,26.0,8,45058.0,No,No,No,No,No,No
167,H29580,High,298.4,308.2,1612,32.6,10,52551.200000000004,No,No,No,No,No,No
168,H29581,High,298.4,308.3,1458,42.9,15,62548.2,No,No,No,No,No,No
169,L47348,Low,298.4,308.3,1433,62.3,20,89275.9,No,No,Yes,No,No,Yes
170,L47349,Low,298.4,308.3,1318,59.1,22,77893.8,No,No,No,No,No,No
171,M15030,Medium,298.4,308.2,1610,35.0,24,56350.0,No,No,No,No,No,No
172,L47351,Low,298.2,308.1,1462,50.8,27,74269.59999999999,No,No,No,No,No,No
173,M15032,Medium,298.1,308.0,1924,20.8,29,40019.200000000004,No,No,No,No,No,No
174,M15033,Medium,298.2,308.0,1591,33.7,32,53616.700000000004,No,No,No,No,No,No
175,L47354,Low,298.2,308.1,1306,58.3,35,76139.8,No,No,No,No,No,No
176,L47355,Low,298.2,308.1,1382,43.5,37,60117.0,No,No,No,No,No,No
177,L47356,Low,298.2,308.1,1618,34.7,39,56144.600000000006,No,No,No,No,No,No
178,L47357,Low,298.2,308.2,1988,21.4,41,42543.2,No,No,No,No,No,No
179,L47358,Low,298.2,308.2,1436,50.2,43,72087.2,No,No,No,No,No,No
180,L47359,Low,298.2,308.3,1304,49.8,45,64939.2,No,No,No,No,No,No
181,L47360,Low,298.2,308.3,1475,49.9,47,73602.5,No,No,No,No,No,No
182,H29595,High,298.2,308.3,1824,24.2,49,44140.799999999996,No,No,No,No,No,No
183,M15042,Medium,298.1,308.2,1342,48.1,54,64550.200000000004,No,No,No,No,No,No
184,L47363,Low,298.1,308.2,1485,40.7,57,60439.50000000001,No,No,No,No,No,No
185,L47364,Low,298.2,308.2,1667,30.6,59,51010.200000000004,No,No,No,No,No,No
186,L47365,Low,298.2,308.2,1446,38.2,61,55237.200000000004,No,No,No,No,No,No
187,L47366,Low,298.1,308.3,1301,56.0,63,72856.0,No,No,No,No,No,No
188,L47367,Low,298.2,308.4,1379,43.1,65,59434.9,No,No,No,No,No,No
189,L47368,Low,298.3,308.5,1606,33.6,67,53961.600000000006,No,No,No,No,No,No
190,M15049,Medium,298.3,308.4,1539,43.4,69,66792.59999999999,No,No,No,No,No,No
191,L47370,Low,298.2,308.4,1477,49.9,72,73702.3,No,No,No,No,No,No
192,L47371,Low,298.2,308.4,1666,34.6,74,57643.600000000006,No,No,No,No,No,No
193,H29606,High,298.2,308.4,1398,51.8,76,72416.4,No,No,No,No,No,No
194,H29607,High,298.2,308.4,1678,34.6,81,58058.8,No,No,No,No,No,No
195,M15054,Medium,298.2,308.5,2678,10.7,86,28654.6,No,No,Yes,No,No,Yes
196,L47375,Low,298.3,308.5,1453,42.9,89,62333.7,No,No,No,No,No,No
197,H29610,High,298.3,308.6,1432,49.5,91,70884.0,No,No,No,No,No,No
198,M15057,Medium,298.4,308.6,1527,40.9,96,62454.299999999996,No,No,No,No,No,No
199,L47378,Low,298.4,308.7,1588,35.0,99,55580.0,No,No,No,No,No,No
200,L47379,Low,298.4,308.6,1433,47.1,101,67494.3,No,No,No,No,No,No
201,L47380,Low,298.4,308.6,1609,35.0,103,56315.0,No,No,No,No,No,No
202,L47381,Low,298.3,308.5,1575,41.2,105,64890.00000000001,No,No,No,No,No,No
203,M15062,Medium,298.4,308.5,1636,35.7,107,58405.200000000004,No,No,No,No,No,No
204,L47383,Low,298.4,308.5,1490,37.9,110,56471.0,No,No,No,No,No,No
205,L47384,Low,298.4,308.5,1741,32.8,112,57104.799999999996,No,No,No,No,No,No
206,M15065,Medium,298.5,308.6,1344,53.0,114,71232.0,No,No,No,No,No,No
207,L47386,Low,298.5,308.7,1609,35.3,117,56797.7,No,No,No,No,No,No
208,M15067,Medium,298.4,308.7,1421,60.7,119,86254.7,No,No,Yes,No,No,Yes
209,L47388,Low,298.4,308.6,1591,36.7,122,58389.700000000004,No,No,No,No,No,No
210,L47389,Low,298.4,308.6,1477,44.0,124,64988.0,No,No,No,No,No,No
211,L47390,Low,298.4,308.7,1523,36.1,126,54980.3,No,No,No,No,No,No
212,L47391,Low,298.5,308.7,1575,33.9,128,53392.5,No,No,No,No,No,No
213,H29626,High,298.4,308.7,1344,52.9,130,71097.59999999999,No,No,No,No,No,No
214,L47393,Low,298.4,308.7,1386,44.9,135,62231.4,No,No,No,No,No,No
215,M15074,Medium,298.3,308.6,1589,37.1,137,58951.9,No,No,No,No,No,No
216,L47395,Low,298.3,308.6,1548,40.3,140,62384.399999999994,No,No,No,No,No,No
217,L47396,Low,298.3,308.6,1499,38.3,142,57411.7,No,No,No,No,No,No
218,L47397,Low,298.3,308.5,1664,31.6,144,52582.4,No,No,No,No,No,No
219,L47398,Low,298.3,308.6,1447,38.1,146,55130.700000000004,No,No,No,No,No,No
220,M15079,Medium,298.3,308.5,1434,46.2,148,66250.8,No,No,No,No,No,No
221,L47400,Low,298.3,308.5,1416,52.7,151,74623.2,No,No,No,No,No,No
222,H29635,High,298.4,308.5,1827,24.3,153,44396.1,No,No,No,No,No,No
223,L47402,Low,298.4,308.6,1304,45.0,158,58680.0,No,No,No,No,No,No
224,L47403,Low,298.4,308.6,1569,34.4,160,53973.6,No,No,No,No,No,No
225,L47404,Low,298.3,308.6,1584,29.3,162,46411.200000000004,No,No,No,No,No,No
226,L47405,Low,298.3,308.5,1362,53.8,164,73275.59999999999,No,No,No,No,No,No
227,L47406,Low,298.3,308.4,1329,49.2,166,65386.8,No,No,No,No,No,No
228,L47407,Low,298.3,308.5,1539,36.1,168,55557.9,No,No,No,No,No,No
229,M15088,Medium,298.3,308.5,1629,37.1,170,60435.9,No,No,No,No,No,No
230,L47409,Low,298.3,308.5,1538,32.2,173,49523.600000000006,No,No,No,No,No,No
231,L47410,Low,298.3,308.6,1570,34.8,175,54635.99999999999,No,No,No,No,No,No
232,L47411,Low,298.3,308.4,1408,43.1,177,60684.8,No,No,No,No,No,No
233,L47412,Low,298.2,308.4,1424,47.6,179,67782.40000000001,No,No,No,No,No,No
234,L47413,Low,298.2,308.4,1512,34.9,181,52768.799999999996,No,No,No,No,No,No
235,L47414,Low,298.2,308.4,1478,42.9,183,63406.2,No,No,No,No,No,No
236,M15095,Medium,298.1,308.3,1680,33.7,185,56616.00000000001,No,No,No,No,No,No
237,L47416,Low,298.1,308.3,1495,38.7,188,57856.50000000001,No,No,No,No,No,No
238,M15097,Medium,298.0,308.1,1552,36.6,190,56803.200000000004,No,No,No,No,No,No
239,L47418,Low,297.9,308.1,1393,50.3,193,70067.9,No,No,No,No,No,No
240,L47419,Low,298.0,308.2,1611,30.6,195,49296.600000000006,No,No,No,No,No,No
241,M15100,Medium,298.0,308.1,1339,51.6,197,69092.40000000001,No,No,No,No,No,No
242,L47421,Low,298.0,308.1,1777,24.3,200,43181.1,No,No,No,No,No,No
243,L47422,Low,298.0,308.2,1348,58.8,202,79262.4,No,No,No,Yes,No,Yes
244,L47423,Low,298.0,308.2,1442,44.1,204,63592.200000000004,No,No,No,No,No,No
245,M15104,Medium,298.0,308.2,1395,49.1,206,68494.5,No,No,No,No,No,No
246,M15105,Medium,297.9,308.1,1627,31.4,209,51087.799999999996,No,No,No,No,No,No
247,L47426,Low,297.9,308.1,1585,33.5,212,53097.5,No,No,No,No,No,No
248,L47427,Low,298.0,308.2,1469,45.5,214,66839.5,No,No,No,No,No,No
249,L47428,Low,298.0,308.3,1362,56.8,216,77361.59999999999,No,No,No,Yes,No,Yes
250,L47429,Low,298.0,308.3,1405,56.2,218,78961.0,No,No,No,Yes,No,Yes
251,L47430,Low,298.0,308.3,1662,32.7,0,54347.4,No,No,No,No,No,No
252,M15111,Medium,298.0,308.2,1466,42.6,2,62451.6,No,No,No,No,No,No
253,L47432,Low,298.0,308.2,1620,35.8,5,57995.99999999999,No,No,No,No,No,No
254,L47433,Low,298.0,308.2,1357,48.2,7,65407.4,No,No,No,No,No,No
255,L47434,Low,298.0,308.2,1514,37.9,9,57380.6,No,No,No,No,No,No
256,L47435,Low,298.0,308.2,1489,40.4,11,60155.6,No,No,No,No,No,No
257,L47436,Low,298.1,308.3,1331,63.0,13,83853.0,No,No,No,No,No,No
258,L47437,Low,298.0,308.0,1615,29.5,15,47642.5,No,No,No,No,No,No
259,L47438,Low,298.1,308.2,1482,37.9,17,56167.799999999996,No,No,No,No,No,No
260,M15119,Medium,298.1,308.2,1420,63.9,19,90738.0,No,No,Yes,No,No,Yes
261,M15120,Medium,298.2,308.3,1522,49.1,22,74730.2,No,No,No,No,No,No
262,L47441,Low,298.1,308.2,1654,32.1,25,53093.4,No,No,No,No,No,No
263,M15122,Medium,298.1,308.2,1736,26.8,27,46524.8,No,No,No,No,No,No
264,M15123,Medium,298.0,308.1,1587,32.3,30,51260.1,No,No,No,No,No,No
265,L47444,Low,298.1,308.2,1390,47.5,33,66025.0,No,No,No,No,No,No
266,L47445,Low,298.0,308.1,1454,37.1,35,53943.4,No,No,No,No,No,No
267,H29680,High,298.0,308.1,1440,43.7,37,62928.00000000001,No,No,No,No,No,No
268,L47447,Low,297.9,308.0,1954,21.1,42,41229.4,No,No,No,No,No,No
269,H29682,High,297.9,308.0,1800,24.8,44,44640.0,No,No,No,No,No,No
270,L47449,Low,298.0,308.0,1524,37.0,49,56388.0,No,No,No,No,No,No
271,H29684,High,298.0,308.0,1520,39.6,51,60192.0,No,No,No,No,No,No
272,M15131,Medium,298.1,308.1,1452,40.8,56,59241.6,No,No,No,No,No,No
273,L47452,Low,298.1,308.1,1484,40.4,59,59953.6,No,No,No,No,No,No
274,L47453,Low,298.1,308.0,1426,46.0,61,65596.0,No,No,No,No,No,No
275,L47454,Low,298.1,308.0,1652,28.5,63,47082.0,No,No,No,No,No,No
276,L47455,Low,298.0,308.0,1401,54.7,65,76634.7,No,No,No,No,No,No
277,M15136,Medium,298.0,307.9,1750,26.6,67,46550.0,No,No,No,No,No,No
278,H29691,High,298.0,308.0,1479,50.7,70,74985.3,No,No,No,No,No,No
279,M15138,Medium,298.0,308.0,1620,29.4,75,47628.0,No,No,No,No,No,No
280,L47459,Low,298.0,308.1,1819,23.4,78,42564.6,No,No,No,No,No,No
281,M15140,Medium,298.1,308.1,1456,43.7,80,63627.200000000004,No,No,No,No,No,No
282,L47461,Low,298.1,308.0,1626,36.5,83,59349.0,No,No,No,No,No,No
283,M15142,Medium,298.1,308.1,1390,49.8,85,69222.0,No,No,No,No,No,No
284,L47463,Low,298.2,308.2,1469,43.0,88,63167.0,No,No,No,No,No,No
285,L47464,Low,298.2,308.3,2051,19.2,90,39379.2,No,No,No,No,No,No
286,L47465,Low,298.2,308.3,1568,36.0,92,56448.0,No,No,No,No,No,No
287,L47466,Low,298.2,308.3,1589,33.2,94,52754.8,No,No,No,No,No,No
288,L47467,Low,298.2,308.3,1805,31.6,96,57038.0,No,No,No,No,No,No
289,H29702,High,298.2,308.4,1385,42.2,98,58447.00000000001,No,No,No,No,No,No
290,L47469,Low,298.1,308.4,1436,46.7,103,67061.2,No,No,No,No,No,No
291,L47470,Low,298.1,308.4,1438,45.6,105,65572.8,No,No,No,No,No,No
292,L47471,Low,298.0,308.3,1473,42.6,107,62749.8,No,No,No,No,No,No
293,L47472,Low,298.1,308.4,1335,40.2,109,53667.00000000001,No,No,No,No,No,No
294,H29707,High,298.1,308.5,1392,44.8,111,62361.6,No,No,No,No,No,No
295,M15154,Medium,298.1,308.5,1372,51.1,116,70109.2,No,No,No,No,No,No
296,M15155,Medium,298.1,308.6,1716,30.7,119,52681.2,No,No,No,No,No,No
297,L47476,Low,298.0,308.5,1395,46.2,122,64449.00000000001,No,No,No,No,No,No
298,L47477,Low,298.0,308.5,1713,25.3,124,43338.9,No,No,No,No,No,No
299,H29712,High,297.9,308.5,2129,18.7,126,39812.299999999996,No,No,No,No,No,No
300,M15159,Medium,297.8,308.3,1567,35.6,131,55785.200000000004,No,No,No,No,No,No
301,L47480,Low,297.8,308.4,1622,38.3,134,62122.6,No,No,No,No,No,No
302,L47481,Low,297.7,308.4,1740,27.1,136,47154.0,No,No,No,No,No,No
303,H29716,High,297.8,308.4,1512,35.1,138,53071.200000000004,No,No,No,No,No,No
304,M15163,Medium,297.8,308.4,1479,43.5,143,64336.5,No,No,No,No,No,No
305,L47484,Low,297.8,308.4,1737,27.5,146,47767.5,No,No,No,No,No,No
306,L47485,Low,297.8,308.4,2129,19.2,148,40876.799999999996,No,No,No,No,No,No
307,L47486,Low,297.8,308.4,1374,47.1,150,64715.4,No,No,No,No,No,No
308,M15167,Medium,297.8,308.4,1579,36.6,152,57791.4,No,No,No,No,No,No
309,L47488,Low,297.9,308.5,1305,47.2,155,61596.00000000001,No,No,No,No,No,No
310,M15169,Medium,297.9,308.5,1449,40.8,157,59119.2,No,No,No,No,No,No
311,H29724,High,298.0,308.6,1526,41.8,160,63786.799999999996,No,No,No,No,No,No
